Bajirri  	[Ba-jirri] nominal. spring water on Mt Pierre Station. Category: Placenames and Country.
garlarriwa  	[galarri-wa] nominal. mountain bloodwood (smooth barked). Eucalyptus dichromophloia. This tree grows high in the ranges country on Louisa Downs. It has fine leaves and reddish gum nuts which point upwards.  [SL, JS, MS] Category: trees.
garlgarl  	[garl-garl] ambivalent verb. laugh.  [TC] Category: speaking and thought.
garli  	nominal. 1 • boomerang.  [TC, ET] Category: artifacts.
2 • jawbone.  [TC, ET] Category: body parts and products.
3 • nephew, man's sister's son.  [TC, ET] Category: relations.
garlibirlibi  	[garli-birli-bi] nominal. seeds from bauhinia tree (a coppery-red colour when they are first produced).  [RC, S] Category: plants.
garlimbirrijmawoo  	[garlim-birrij-ma-woo] nominal. striped one. Ngarragi miyawoo garlimbirrijmawoo. My cat is a striped one. Category: describers.
garlinda  	[garl-inda] nominal. 1 • teenager (twelve to eighteen year old girl).  [SL, RC] Category: people.
2 • stick insect.  [SL, RC] Category: insects and spiders.
garliny  	[garl-iny] verb. hold by the hand. Marlarangga garlinynga barndanyi. The girl was holding the old woman by the hand.  [McG table B] Category: actions.
garliyarli  	[garli-yarli] nominal. spleen.  [RC] Category: body parts and products.
garloorrg  	[garl-oorrg] verb. fall to pieces. Girili mirndidi garloorrgbani. The dry log fell to pieces. Category: impact and violence.
garlthig  	[garl-thig] ambivalent verb. split, cut in half. Girili niyaji biliga garlthigma ngalinyayoo. Cut the tree in half to get the sugarbag.  [TC, RC, NC] Category: impact and violence.
garn.gi  	[garn-gi] nominal. white currant. ueggea virosa. The small fruit are eaten when they are ripe.  [WK, WB, JD, B&B 105/changed by Glen Whiteman] Category: bush food.
garnanganyja  	[garn-ang-anyja] nominal. emu. Dromaius novaehollandiae. Prized for its meat and eggs. It has the joonggoorra skin.  [MQ] Category: birds.
garnarna  	[garn-arna] nominal. burial platform in tree.  [MQ] Category: culture.
garnbag  	[garn-bag] nominal. clapping sticks.  [WK] Category: artifacts.
garnbirra  	[garn-birra] nominal. wedge-tailed eagle. Aquila audax.  [RC, MS, Field guide to birds of WA 112] Category: birds.
garndaarra  	[garn-daa-rra] nominal. yellow ochre.  [WB] Category: colours.
garndagarndadi  	[garnda-garnda-di] nominal. throat, Adam's apple.  [MQ, WK] Category: body parts and products.
garndi  	[garn-di] nominal. tree base just above the ground.  [SL, RC] Category: trees.
garndigarndiwirri  	[garndi-garndi-wirri] nominal. four. Gambayiga doowoonga garndigarndiwirri manyi goordida girilinhingi. The boy got four bush apples from the tree. Category: numbers, check.
garndiwangoorroo  	[garndiwa-ngoorroo] nominal. everyone, whole lot. See: jingginyali; garrawooloo.  [TC, ET] Category: people.
garndiwirri  	[garndi-wirri] nominal. two.  [WK] Category: numbers.
garndiyangbadi  	[garndi-yang-badi] nominal. your brother-in-law. Ngoonyiya garndiyangbadi wardji? Where did your brother-in-law go? Category: relations.
garndiyangi  	[garndi-yangi] nominal. brother-in-law, sister's husband.  [WB] Category: relations.
garndiyangiwa  	[garndi-yangi-wa] nominal. his brother-in-law. Niyaji yoowooloo garndiyangiwa ngarragiyoo ngarlangi. That man is brother-in-law to my son. Category: relations.
garndiyangiyarrangi  	[garndi-yangi-yarra-ngi] nominal. our brother-in-law. Ngirndaji yoowooloo garndiyangi yarrangi, yarrangiyoo marni marrawa. This man is our brother-in-law, our sister's husband. Category: relations.
garnimidi  	[garni-midi] adverb. facing this way.  [RC] Category: space.
garooroo  	[ga-roo-roo] nominal. hot sand in the bed of a cooking fire. Manyi  woobjawili garoorooya. I'll cook the damper on the hot sand . See: garooroo.  [MQ] Category: cooking and fire.
garragarraroo  	[garra-garra-roo] nominal. late in the evening.
garrajgi  	[garraj-gi] nominal. hairstring bag.  [RC] Category: artifacts.
garranggarrang  	[garrang-garrang] nominal. type of darter comorant. Anhinga melanogaster.  [SL, RC, FGG 345, GW, S&D 48] Category: birds.
garrarra  	[garr-arra] nominal. moth of witchetty grub.  [PM] Category: insects and spiders.
garrawan  	[garra-wan] ambivalent verb. surround. Garndiwangoorroongga garrawanbirrirni yoowarni yoowooloo. A big mob of people surrounded one man. Ques: "one man" or "the man"?  [TC] Category: actions, check.
garrawooloo  	[garra-wooloo] nominal. 1 • lots of people. See: garndiwangoorroo; jingginyali. Category: describers.
2 • shin. Category: people.
garrayili  	[garra-yili] nominal. middle-aged adult.  [SL, RC]
garrbirl  	[garr-birl] verb. startled. Nganyi garrbirlimi mooyoo nhingi,  tharra roongji. I was startled from sleeping, a dog was barking. See: woorroog. Category: actions.
garrig  	[ga-rrig] ambivalent verb. go missing, absent. Ngarragi tharra garrigmi ngarra ngoonyiyawami. My dog went missing somewhere.  [TC] Category: actions.
garringarri  	[garri-ngarri] nominal. type of waterlily. nymphaea violacea. root, stem and seeds are edible.  [WB, BC] Category: bush food.
garrirndi  	nominal. bullock fat. Ngirndaji maa garrirndingarri. This meat has fat. See: min.ga. Category: old language.
garroorna  	[garr-oorna] nominal. shield.  [MQ] Category: artifacts.
garrwaroo  	[garr-waroo] adverb. yesterday afternoon. Garrwaroo wardjirri yaanyayirra gamba. In the afternoon we went on to another waterhole. Ques: It seems \ge and \xe don't match up.  [FGG 146, JD, WMc 21370] Category: time, check.
garrwi  	[garr-wi] nominal. armpit.  [WB] Category: body parts and products.
gathiwirr  	[gathi-wirr] nominal. big mob gathering around one person. Garndiwangga gathiwirr wirrirni yoowarni yoowooloo. A lot of people gathered round one man. Category: people.
gawarndi  	[ga-warn-di] nominal. blacksoil plain. See: birndirri; galanganyja.  [JS, RC] Category: Land.
gawarri  	[ga-warri] nominal. steep bank (of creek , river or road).  [TC] Category: Land.
gawi  	nominal. general word for all fish.  [WK] Category: fish.
gawili  	[ga-wili] nominal. joey, baby kangaroo.  [MS] Category: kangaroos.
gawirla  	[ga-wirla] nominal. cold, cool.  [WB, SL] Category: describers.
gawoo  	[ga-woo] nominal. lungs.  [MQ] Category: body parts and products.
gawoomboorroo  	[gawoom-boorroo] nominal. dry crumbs from damper or bread. Manyi gawoomboorroo ngabjirra doognhingi. We ate the crushed up dry breadcrumbs. People used to crush dry bread or damper and mix it with liquid.  [JD] Category: food.
gawoorndoo  	[ga-woorn-doo] nominal. ashes burnt from coolibah tree. Ngoonyjoo gawoorndoo ngarri ngabgarra. We chew tobacco with ashes.  [WB, FGG 347, MQ] See: goorlaalal. Category: cooking and fire.
gawoorrg-  	[ga-woorg] ambivalent verb. 1 • knock down several in succession. Yoowooloongga gawoorrgbini jiwilyoogoo. The man killed lots of ducks.
2 • fall asleep one by one. Mawilyiyarndi gawoorrgbirrani mooyoo. The kids all fell asleep. Ques: Could both of the \xe sentences have either "one after another" or "one by one" added to make their meaning clearer? Category: actions, check.
gawoorrij  	[ga-woorrij] monovalent verb. pass away. Yoowooloo ngamoo nhingi gawoorrijbirrani ngirndajiyoo riwi. People from the olden days for this country have all passed away. This verb can only be plural. It is used when all the people from one cultural group have passed away and there is no longer anyone left who knows the stories or has knowledge of their country. The use of this verb indicates respect. It seems slightly euphemistic.  [TC, DS] Category: old language.
gayirrirl  	[ga-yirrirl] nominal. native bee nest in the ground or antbed. Category: bush food.
gayiwalarni  	[gayi-walarni] nominal. smoking time food served by a widow woman. Goornboo galarrangga woobjingi manyi, yoowooloo garndiwa ngangbindi. A widow woman cooked food and served a lot of men. Category: culture.
gayiyawara  	[gayi-yawara] nominal. northern tinsel flower. Cyanostegia cyanocalyx. Note: Found only in isolated areas, particularly on roadside near Kupartiya. Susie Lamey says it is 'mate for wooloomoorndoo'.  [SL, B&B] Category: plants.
gid  	monovalent verb. sneak away. Goornboo gidbindi yilbanyali. The woman went away for good. Ques: Is this the best sentence to show the meaning of the word?  [TC, DS] Category: actions, check.
gidgid  	[gid-gid] nominal. sticky. Gambayi bijngarni gidgid marndaarranhingi. The boy became so sticky from gum. Category: describers.
gij  	monovalent verb. get up, rise. Jiginya gijbindi mooyoonhingi. The little child woke up from the sleep. Ques: Is the the best sentence to show meaning of word?  [TC, DS] Category: actions, check.
gilang  	bivalent verb. push over. Yoowoolooyarndiga gilangbirarri nyamani maanoongoo. The men pushed over the big antbed.  [TC, DS, ET] Category: actions.
gilba  	verb. find. Yoowooloongga gilbayingi nyamani galamooda bindirriya. The man found a big bush turkey on the plain.  [TC, DS] Category: actions.
gilgi  	[gil-gi] nominal. waist. Ngamoo ngarranyingga jooloojbinbirra joogoo gilgiya yamadingarri. Long time ago mothers used to carry their babies on their hips in a coolaman. Ques: \ge - \xe? Category: body parts and products, check.
gilij  	ambivalent verb. stop. Goornbooga gilijjinginhi yoowoolooyoo marlami wardgirawoo liyani. The woman stopped the man from going west.  [TC, DS] Category: actions.
gilirndi  	[gilirn-di] nominal. sesbania pea. Sesbania cannabina. This tall slender plant is common in wet country.  [JS, Plants of the Kimberley 211] Category: plants.
gilirni  	nominal. general term for all grasses.  [WB] Category: plants.
gima  	adverb. far away. See: banyangi.  [TC, MS, MQ] Category: space.
gimangarna  	[gima-ngarna] nominal. bush dweller from far away. Gimangarna bijngarni marnangoorroo nhingi. A bush dweller came from far away.  [MQ] Category: suffixes.
gindiwa  	[gindi-wa] adverb. towards the east, eastward, upstream. Category: directions.
giningi  	[gini-ngi] nominal. out of breath, puffed out. Gambawija giningi rajloondoo. Without water I am puffed out. Category: describers.
ginyandi  	[giny-andi] determiner. that one. Used when both the speaker and hearer know who or what is being talked about. Ginyandi goornboo barnbindi liyani Boorroorlayirra. That woman went back west to Derby.  [FGG 146] Category: Language.
ginyirri  	[giny-irri] ambivalent verb. jealousy, envy. Goornbooga gardbini yaanya goornboo ginyirri ngoombarnawinyja. The  woman hit another woman , in jealousy of her husband. Ques: Is this really a nominal? Category: impact and violence, check.
ginyja  	[giny-ja] nominal. ridge-tailed goanna. Varanus acanthuru.  [SL, RC, JS, Reptiles and Amphibians 255] Category: lizards.
giraa  	adverb. near, close up.  [WB] Category: space.
girarr  	[gi-rarr] ambivalent verb. crawl. Lambardi booga girarrmi yaninginyali. The small child crawled today for the first time.  [TC, DS] Category: posture.
gird  	ambivalent verb. heat, cook. Wajarri gooja girdbirra girnjiliya. They were cooking green boab nuts in the hot ashes.  [WK, TC] Category: cooking and fire.
girdibirr  	[girdi-birr] monovalent verb. erode. Ngalangala girdibirrwani. The steep bank eroded. . This verb can only be singular.  [TC] Category: Land.
girdirr  	[gir-dirr] nominal. fork-tailed swift, rainbird. Apus pacificus. Girdirr booroojgiri wilanggaya yiwirndiyoo. The swift comes out just before the rain.  [SL, RC, TC, S&D 156] Category: birds.
girib  	ambivalent verb. finish. Ngoorndooga giribjingi ngarragi manyi? Who finished my food?  [TC, DS] Category: actions.
girili  	nominal. tree, stick.  [WK, WB] Category: trees.
giringindi  	[giri-ngindi] nominal. debris. Warrambaga yoodjingi giringindi gaaliya. The floodwater dumped debris on the road.  [NS, TC] Category: trees.
girinyi  	[gri-nyi] nominal. green katydid. indicates that the cold season is coming.  [JD] Category: insects and spiders.
giriwirri  	[giri-wirri] nominal. warm water flowing along watercourses after the first big rain. Giriwirringga woobjingi gawi. The warm floodwater kills the fish. Giriwirri carries debris and brings a sudden change of temperature to the water in a billabong or watercourse and is said to burn or kill the fish.  [TC, DS, SL] Category: Land.
girlagbadi/girlagiwadi  	[girlag-badi/girlagi-wadi] nominal. your grandfather, your son's children. Ngoonyiya girlagbadi wardji? Where did your grandfather go? Category: relations.
girlagi  	[girla-gi] nominal. grandfather, father's father, son's children.  [MQ] Category: relations.
girlagilangoo  	[girlagi-langoo] nominal. grandfather and grandchild pair. Boolgayoorroo gambayi girlagilangoo wardbirriyoo warlibirriyirra. The old man and his grandson went to the river. Category: relations.
girlagiwa  	[girlagi-wa] nominal. his/her grandfather [father's father], his/her grandchildren [son's children]. Marlarangga woobjinginhi manyi girlagiwayoo. The girl cooked food for her grandfather. Category: relations.
girlagiyarrangi  	[girlagi-yarrangi] nominal. our grandfather, our father's father, our son's children. Ngirandaji booga ngarragi girlagi ngarragiyoo marna girlagiwa. This child is my grandchild, my brother's grandchild. Category: relations.
girlgirlg  	[girlg-girlg] monovalent verb. make a tapping noise. Yoowoolooyarndiga girlgirlgbirra garnbag wanggaya joonba. The men were beating the tapping sticks at the (wangga) corroboree. .  [WK, SL, TC] Category: actions.
girlinggi  	[girling-gi] nominal. penis. Category: body parts and products.
girlinggoo  	[girling-goo] nominal. red dragonfly.  [RC, SL] Category: insects and spiders.
girlinggoowa  	[girling-goowa] nominal. male. Nirndaji girili girlinggoowa manyi marlami. This tree is male; it has no fruit. Milder cold weather is male and very cold weather is female.  [MQ] Category: describers.
girlingirri  	[girli-ngirri] nominal. open gap. Category: space.
girlinygirliny  	[girliny-girliny] nominal. galah. Cacatua roseicapilla. General term for all galahs, including: Pink Galah, Goulie,  Roseate Cockatoo,  Rose-breasted Cockatoo,  Willie. Used to be eaten. Note: photo: http://www.arthurgrosset.com/ozbirds/galah.html  [S&D 132] Category: birds.
girliwidi  	[girli-widi] nominal. spinifex pigeon. Petrophassa plumifera. Used to be eaten. Note: photo: Rune Mitgaard: http://www.natureswindow.dk/Petrophassa%20plumifera.html  [RC, SL, S&D 128] Category: birds.
girljirrijgi  	[girl-jirrij-gi] nominal. tadpole.  [FGG 359] Category: frogs.
girloorloo  	[girloor-loo] nominal. limestone country.  [SL] Category: Land.
girlwanggi  	[girl-wanggi] nominal. old people. Ginyandi girlwanggi barndanyi, riwiyami waranggiri? That old lady, is she staying at home? Category: old language.
girnaj  	monovalent verb. big mob sitting around. Girnajbirri garndoowoongoorroo yoowoolooyarndi maa garananganyja ngabbirra. A lot of men sat around together eating emu meat.  [TC, DS] Category: posture.
girnda  	nominal. new moon.  [TC, MS] Category: elements.
girndi  	nominal. black plum. Vitex glabrata. Note: Scientific name; Fluggea virosa The fruit can be eaten when ripe at the beginning of the wet season.  In the past they were dried and stored. The ripening of the fruit is indicated by the appearance of fireflies (landi) at night time.  [WK, B&B 104/ Glenn Whiteman] Category: bush food.
girngali  	[girn-gali] nominal. wind.  [SL, JS, MQ] Category: elements.
girniny  	[girn-iny] bivalent verb. mix. Ngoorndooga girninybarringarragi manyi ngarragiya? Who mixed that food with mine?  [TC, DS] Category: describers.
girnjili  	[girn-jili] nominal. hot sand in the bed of a cooking fire. Wajarri gooja girdbirra girnjiliya. They cooked green boab nuts in the hot sand. See: garooroo.  [WK] Category: cooking and fire.
girra  	ambivalent verb. run, run away. Mawilyi girrawinmi gimayanga. The children ran a long way.  [TC] Category: motion.
girrabi  	[girra-bi] nominal. long one.  [WB, FGG] Category: describers.
girragirra  	[girra-girra] monovalent verb. run along. Marlara lambardi girragirrayi maya. The little girl was running fast.  [TC] Category: motion.
girraj  	nominal. went. Ngooniya ngaboowadi girrajbirri ngirndaji nhingi riwi? Where did your father go from here? Category: old language.
girrangi  	[girra-ngi] possessive pronoun. your. where 'you'  refers to two or more. Category: pronouns.
girrganyi  	[girr-ganyi] nominal. brown falcon. Falco berigora.  [S&D 302, WB] Category: birds.
girrgirr  	[girr-girr] monovalent verb. roll down. Yoowooloo girrgirrwani ngalangalaya baboorroo. The man rolled down the bank. Category: actions.
girri  	ambivalent verb. check out a place for camping. Yoowooloongga riwi girriyingi maningga bagoowoo. The man checked out the place for camping at night. See: jin.  [TC] Category: actions.
girrirliny  	[girrirl-iny] nominal. spear wattle. Acacia tumida. Niyaji manyi girriliny doowarniwirra garinyaya, wooboowirra garoorooya, ngabbirra ganyji. They used to gather the beans from the spear wattle in a coolamon. They used to cook them in hot sand, and eat the seed.  [SL] Category: bush food.
girrwarli  	[girr-warli] nominal. Kimberley archerfish, Largescale archerfish, Western archerfish. Toxotes kimberleyensis. Used to be thought to belong to another species. See: http://en.wikipedia.org/wiki/Toxotes kimberleyensis.  [RC, KLC fish poster] Category: fish.
giwili  	[gi-wili] nominal. water goanna, Merten's water monitor. Varanus mertensi.  [JS, MQ, Mimbi species list] Category: lizards.
giwilygiwily  	[gi-wily-gi-wily] nominal. wrinkles. Barndanyi niyaji giwilygiwiy yanga. That old lady has got so much wrinkles. Category: bodily functions.
giwiri  	[gi-wiri] nominal. 1 • cypress pine. callitris intropica. The scented wood is burnted to chase mosquitos and to smoke babies to make them strong.  [JD, Plant of the Kimberley 166] Category: trees.
2 • nankeen night heron. See: gamarrga. Category: birds.
giwirlji  	[gi-wirl-ji] nominal. spring water rockholes. Gamba giwirlji bagiri ngamoonhingi Barnganygariya. There's a spring water from long time ago at a place called Barnganygari near Pilara mine.  [SL] Category: Land.
giyi  	nominal. wet, damp ground or grass.  [FGG] Category: Land.
giyidi  	[gi-yidi] pronoun. you two. Giyidiyoorroo wardbingirriyoo gawibinyi. You two go fishing. Category: pronouns.
giyinyma  	[giyiny-ma] nominal. little red flying fox. Pteropus scapulatus. Lives in paperbark (goorroomba) and wild plum (marndarra) trees, and feeds on nectar. Can be eaten. The meat has a strong smell. This animal features in warloongarri joonba.  [NS, JS, FGG 39, MQ, Mimbi species list, Mammals of Australia 441] Category: birds.
giyirli  	[gi-yirli] nominal. left-overs (of food or things). Giyirli manyi gadboo ngarragi. Leave some left over food for me.  [TC] Category: food.
goobarlabarla  	[goobarla-barla] nominal. waves on the water, a moving ridge of water. Goobarlabarla gambaya nyamaninhingi girngali. There are waves on the water from the big wind. See: ngabarlngabarl. Category: Land.
goobool  	[goo-bool] nominal. bulrush. Typha domingensis.  [SL, B&B 228/Glenn Whiteman] Category: plants.
good  	ambivalent verb. 1 • overcast of  (rain clouds). Ngoomoorroo nyamani goodbani, yiwirndi yilijjawani. There's a big overcast of clouds, it will rain. Ques: Does this mean "to become overcast"? Category: elements, check.
2 • grab. Gambayigga goodmi nhoo tharra nyawayangga. The boy grabbed  his dog by the tail.  [TC] Category: holding and transfer.
googooly  	[goo-gooly] nominal. wood shavings. Ngamoo yoowooloongga wardbira googooly mirraya joonba jarryawirri. A long time ago men use to wear wood shavings on their head when they danced the corroborree. Category: culture.
googoonja  	[goo-goon-ja] nominal. sheep. Googoonja wardbirra ngirndajiyirra riwi yaanyanhingi. They brought sheep here from another country. Category: introduced animals.
gooja  	nominal. supple, fresh, green (of wood). Gilirni girili gooja bagiri wirrgali. The grass and trees are supple and fresh when they are green.  [WK] Category: describers.
gooji  	nominal. bone. Category: body parts and products.
goolgara  	[gool-gara] nominal. mullet. Liza spp..  [RC, Inland fishes 66] Category: fish.
gooliji  	[gooli-ji] nominal. black-tailed native hen. Gallinula ventralis.  [SL, RC, S&D 66] Category: birds.
gooloomoorroo  	[gooloo-moorroo] nominal. bang, crash. Gooloomoorroo thanymiliyirra gimayanga. We heard an explosion very far away. A resonant sound of something very heavy falling to the ground (like a meteorite or a bomb).  [SL, RC] Category: impact and violence.
gooloorndoo  	[gooloorn-doo] nominal. type of small bush. Can be used in place of  freshwater mangrove (gooroo) for poisoning fish. It is broken into pieces and tied up with grass.  Then a heated cooking stone is wrapped in with it and it is dragged through the water. Ques: IDENTIFICATION REQUIRED  [RC] Category: plants, check.
gooloowa  	[gooloo-wa] nominal. winter rain, rain that falls in the cold season. Category: elements.
gooloowadi  	[gooloo-wadi] nominal. magic love song. Category: culture.
goolyoolyoo  	[goo-lyoo-lyoo] nominal. budgerigar. Melopsittacus undulatus. Category: birds.
gooma  	bivalent verb. take a bite. Yoowooloongga goomajinga maa nyamani. A man was taking a big bite of the meat.  [TC, DS] See: wird. Category: actions.
goomama  	[gooma-ma] nominal. little black duck. Aythya australis.  [GW] Category: birds.
goomarlawoorroo  	[goomarla-woorroo] nominal. pied butcherbird. Cracticus nigrogularis.  [RC, MQ, S&D 248] Category: birds.
goombirla  	[goom-birla] nominal. bush cockroach. When disturbed they raise their hind parts and squirt a substance at the intruder.  [SL, JS] Category: insects and spiders.
goombirna  	[goom-birna] adverb. early morning. Goombirna wardbarra, gawirlaya. Let's go early, while it's cool.  [SL]
goomboorna  	[goom-boorna] nominal. northern nailtail wallaby. Onychogalea unguifera. Sometimes called left-hand kangaroo because it hops holding its left front paw to its chest.  [JS, MQ, Mammals of Australia 361] Category: kangaroos.
goomboorroo  	[goom-boorroo] nominal. mother's older sister.  [WB] Category: relations.
goomboorroowa  	[goom-boorroo-wa] nominal. his/her mother's older sister. Niyaji goornboo goomboorroowa ngirndajiyoo gambayi. That woman is this boy's mother's older sister. Category: relations.
goomboorroowadi  	[goom-boorroo-wadi] nominal. your mother's older sister. Ngirndaji ngaanggi goomboorroowadi. This is your mother's older sister. Category: relations.
goomboorrooyarrangi  	[goom-boorroo-yarrangi] nominal. our mother's older sister. Niyaji goornboo goomboorrooyarrangi. That woman is our mother's older sister. Category: relations.
goomooloo  	[goomoo-loo] nominal. things or place of bereavement. Goornbooga gadbini riwi goomooloo, ngoombarnawa nangbani niyajiya. The woman left the place of bereavement; her husband died there.  [WM 25630] Category: culture.
goomoonggoo  	[goo-moong-goo] nominal. little plague grasshopper. Used to be gathered into a hole, covered with grass which was then burnt to cook them. See: birlbirlji. Category: insects and spiders.
goomooyoorloo  	[goomoo-yoorloo] nominal. lame, crippled. Niyaji yoowooloo goomooyoorloo, thithi marlami wardgiri. That man is crippled; he is not walking. Ques: Could the \xe say "he can't walk"?  [RC] Category: describers, check.
goon.goo  	[goon-goo] nominal. taboo, prohibited food. See: doonggooloo. Category: culture.
goonanggi  	[goonang-gi] nominal. stem-fruit fig. Ficus racemosa. The pink-brown fruit are eaten when they are ripe.  Can be sun-dried, wrapped in paperbark and stored for later use, when they are crushed and mixed with water.   The light wood from the stems can be used to make rafts.  [WB, JD] Category: trees.
goonbar  	[goon-bar] bivalent verb. smoke babies. Ngarranyingga goonbarnga lambardi gambayi briyaliya. The mother smoked the little boy over the Conkerberry bush smoke. The smoking of someone or something is done for beneficial or medicinal purposes.  [TC, DS] Category: actions.
goonggala  	[goong-gala] nominal. firestick tree. Premna acuminata, Clerodendrum floribundum. The dried, straight stems are used as bush matches to light a fire using the traditional friction techniques.  [WB, NS, B&B 196/ changed by Glenn Whiteman] Category: trees.
goonggoodoo  	[goong-goodoo] nominal. mucus, snot, cold sick, phlegm.  [MQ] Category: bodily functions.
gooni  	1 • nominal. totem dream. Ngarragi gooni garlinda. My dream totem is the praying mantis. Maningga goonila garlinda bijngarni ngarragi, jajiyoowami. Last night I dreamed the praying mantis came to me, I don't know why. A dream about a child can predict a pregnancy. A person may have one, or several, gooni, which are passed on through family connections. Through their gooni, a person is associated with an animal, bird, fish or insect which has special significance and may give that person a sign, message or special understanding about people who are close to them. Category: culture, check.
2 • ambivalent verb. dream (revelation). Nganyingga goonila maningga gambayi bangbani giriliyangga. I dreamed last night, the boy fell from the tree.  [TC, DS] Category: describers, check.
goonthoorrg  	[goon-thoorrg] verb. cough. Goornboo goonthoorrgji maningga thoolngorro goonggoodoo ngarri. The woman was coughing all night with the flu. Category: bodily functions.  [TC]
goonthoorrngarri  	[goonthoorr-ngarri] nominal. bush potato, yam. Ipomoea costata. Most common in sand hill country.  These large yams may be long and narrow or short and round.  They used to be an important food and can be eaten at any time of the year. They are roasted in hot sand and ashes or cooked in a ground oven. A long-leafed variety of birla. See: birla. Category: bush food.
goony-  	bivalent verb. wait for. Yoowooloongga goonynga maa moorlayirra. The man waited for the meat to be fully cooked.  [TC] Category: actions.
goonyarra  	[goo-nyarra] nominal. type of wild melon. Citrullus colocynthis. Non-edible variety.  [GW] Category: plants.
gooraboodbood  	[goora-bood-bood] nominal. dung beetle.  [RC] Category: insects and spiders.
gooraj-  	verb. sort out, pick out, choose. Goornbooyoorroongga goorajbirrayoo thangarndi jiyaggoo. The women were sorting out the words to speak at a meeting. Category: actions.
goorarr  	[goo-rarr] nominal. sulphur-crested cockatoo. Also known as: white cockatoo, yellow-crested cockatoo. Cacatua galerita, cacatua galerita fitzroyi. Goorarr jirigi labawoo. The sulphur-crested cockatoo is a white bird.  [TC] Category: birds.
goorday-  	[goor-day] bivalent verb. knead. Goornbooga goordaynga manyi. The woman kneaded the damper dough.  [TC, DS] Category: actions.
goordirda  	[goor-dirda] nominal. bush orange, wild orange. Capparis umbonata ; family CAPPARIDACEAE - NATIVE POMEGRANATE. Ques: Check that the species name is right for the language word. The fruit is yellow when ripe. Charcoal from the bark used to be applied to the skin for healing. Goordirda moorlayari joornanygarra warbari. When bush orange fruit ripens, it sends out a sweet smell.  [JD, RC, Broome and Beyond 81] Category: bush food, check.
goordoo  	[goor-doo] nominal. hand-held grindstone. Seeds are ground between two stones, a small one (goordoo) held in the hand and the other larger one (barlarli) used as a base.  [WB, RC] See: barlarli; baljadi. Category: artifacts.
goordoogoordoo  	[goordoo-goordoo] nominal. rain cloud. This is a long dark rain cloud which rolls along, low in the sky, during the wet season.  [RC] Category: elements.
goorla-  	ambivalent verb. wake (someone) up. Ngarranyoowangga goorlangarni gambayi mooyooninghi. The mother woke the boy up from sleep.  [TC, DS] Category: actions.
goorla  	nominal. beeswax from native bee nest (hive).  [TC, ET] Category: insects and spiders.
goorlaa  	nominal. flying termite, flying ant. Women collect them from termite mounds and winnow them in a coolamon, to separate the bodies from the wings. Then they toast the bodies in the sun and eat them. Goorlaa are associated with women's ceremony and rain-making corroboree. Men and young boys cannot eat them.  [SL, TC] Category: insects and spiders.
goorlaalal  	[goorlaa-lal] nominal. coolibah tree. Eucalyptus coolabah. Used for firewood.  Green leaves are used for smoking small children to make them strong. The bark of the coolibah tree is used to make ashes (gawoorndoo) for mixing in with chewing tobacco. The tree provides sugarleaf and sugarbag.  [SL, MS, Mimbi species list, changed by Glenn Whiteman] See: gawoorndoo. Category: trees.
goorlarda  	[goorl-arda] nominal. spear. Used to administer punishment by spearing in the thigh.  [WB] Category: artifacts.
goorlba  	[goorl-ba] nominal. vomit. Malara lambardi goorlba yooroogji. The little girl was vomiting. Category: bodily functions.
goorlibi  	[goorli-bi] nominal. bush banana. Marsdenia australis, M. viridiflora. Goorlibi ngabgarra goornga, moorla. We eat bush bananas unripe or ripe.  [MS, B&B 63, changed by Glenn Whiteman] Category: bush food.
goorloogoogoo  	[goorloo-goo-goo] nominal. diamond dove. Geopelia cuneata.  [RC, SL, WB] Category: birds.
goorlooma  	[goorloo-ma] nominal. sharp point.  [PM] Category: impact and violence.
goorloomangarri  	[goorlooma-ngarri] nominal. lesser salmon catfish. Arius graeffei.  [RC, JD, KLC fish poster, TC, ET] Category: fish.
goorloomarra  	[goorloo-marra] nominal. sweet mimosa bush. Acacia farnesiana. This introduced prickly shrub is eaten by cattle and is now very common in some areas. It has been given the same Gooniyandi name as Dichrostachys spicata, a similar native plant.  [LC, Plants of the Kimberley 116, changed by Glenn Whiteman] Category: trees.
goorloonyoo  	[goorloo-nyoo] nominal. mosquito.  [WB] Category: insects and spiders.
goornag-  	verb. 1 • transform. Ngamoo ngarranggarni yoowooloowarangbirri riwi Jawoornjawoorndooya, niyajinihingi goornag birrani jirigiyirra. A long time ago in the Dreamtime men were living at the place called Jawoornjawoorndoo, later they were transformed into birds.
2 • turnaround. Ngilanggoongarri goornagbinggani goornboo. Turnaround towards the east, woman. Category: actions.
goornboo  	[goorn-boo] nominal. woman.  [MQ] Category: relations.
goornda  	[goorn-da] nominal. male cousin  brother, uncle and aunty's son.  [WB] Category: relations.
goorndalangoo  	[goornda-langoo] nominal. cousin brothers. Niyajiyoorroo yoowooloo goorndalangoo. Those two men are cousin brothers. Category: relations.
goorndawa  	[goornda-wa] nominal. his/her  male cousin (his/her uncle and aunty's son). Niyaji yoowooloo goorndawa ngarragiyoo ngarlangi. That man is cousin brother to my son. Category: relations.
goorndawadi  	[goornda-wadi] nominal. your male cousin, your uncle and aunty's son. Ngoonyiya wardji goorndawadi? Where did your cousin go? Category: relations.
goorndayarrangi  	[goornda-yarrangi] nominal. our male cousin, our uncle and aunty's son. Ngirndaji yoowooloo goorndayarrangi. This man is our cousin brother. Category: relations.
